"pop","variable","time","scenario","perc_change_from_2021_rate_per100k","rate_per100k","perc_change_from_2021_rate_per100k_lo","rate_per100k_lo","perc_change_from_2021_rate_per100k_hi","rate_per100k_hi"
"Combined","I",2025,"Active 2-year reversion",68.8789788688915,83.1426075517242,44.4626137726032,67.110449771585,97.8221719277176,100.451011575925
"Combined","I",2026,"Active 2-year reversion",31.1133041810672,64.4342140434108,11.2657742505762,52.5625372065827,53.9231174650831,78.976313560863
"Combined","I",2027,"Active 2-year reversion",7.85833961310253,52.8606699419547,-8.05112841915759,43.4696252113194,25.579221289952,64.937465434976
"Combined","I",2028,"Active 2-year reversion",-6.81757907353785,45.6154226261407,-19.7290658642434,37.8419124025767,7.42427858475555,56.0278889967971
"Combined","I",2029,"Active 2-year reversion",-16.3842078792942,41.04247260288,-27.2123050713619,34.0738464051885,-4.45568994374844,50.0111227647373
"Combined","I",2030,"Active 2-year reversion",-22.6759374613785,37.9225938057975,-32.4274843273213,31.8085034520684,-12.0963432395503,46.0521858895956
"Combined","I",2031,"Active 2-year reversion",-26.8649724985432,35.8335945568028,-35.8743990007529,30.1795850502329,-17.3335541751421,43.1125738835179
"Combined","I",2032,"Active 2-year reversion",-29.8540004463943,34.3548170087873,-38.3805595444903,28.997695175856,-21.20318149949,41.0743274722438
"Combined","I",2033,"Active 2-year reversion",-32.0243772931439,33.3662163497787,-40.2603711483808,28.1776002671418,-23.6224227634847,39.4954164226268
"Combined","I",2034,"Active 2-year reversion",-33.6147028600425,32.5840899867691,-41.7043773413201,27.5444657824024,-25.3399590850202,38.2373521868586
"Combined","I",2035,"Active 2-year reversion",-34.8370085327175,32.0109750630675,-42.844108208645,27.0817123303182,-26.7051274708017,37.3501621362117
